CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-12-24 16:45:00,1.0,3261.0,0.0,37.0,724372000.0,57120000.0,22.0,44.0,36.0,155922966.89115894,147849262.68191507,193554.20613535572,177781.79784472365
2018-12-24 17:00:00,0.0,3131.0,1.0,38.0,724680000.0,56820000.0,22.0,44.0,36.0,136810786.4289229,128766306.66038415,172153.89647790306,156205.0536563668
2018-12-24 17:15:00,0.0,3069.0,0.0,29.0,724096000.0,57408000.0,22.0,45.0,36.166666666666664,149088947.53423595,138963607.95727792,185384.55265862425,166651.19636937947
2018-12-24 17:30:00,1.0,3051.0,1.0,33.0,723872000.0,57632000.0,22.0,45.0,36.166666666666664,153891762.52111465,144516006.88321465,189554.08919807523,171830.3902112729
2018-12-24 17:45:00,0.0,3078.0,0.0,33.0,723828000.0,57672000.0,22.0,44.0,36.166666666666664,153041323.40068483,144248943.9180936,188790.77071486207,171450.60270587288
2018-12-24 18:00:00,0.0,3020.0,0.0,36.0,724284000.0,57216000.0,22.0,45.0,36.333333333333336,146019678.0047573,137181363.75269118,182154.07345912472,164782.9727466718
2018-12-24 19:15:00,2.0,2992.0,0.0,37.0,723056000.0,58440000.0,22.0,45.0,36.166666666666664,148824396.20381835,138814401.47391233,183184.26783730954,164882.99014654424
2018-12-24 19:30:00,0.0,2971.0,1.0,30.0,722536000.0,58960000.0,22.0,45.0,36.0,147838644.61396772,136857433.71197483,182769.35248408836,163172.36693227311
2018-12-24 19:45:00,1.0,2928.0,0.0,29.0,721732000.0,59764000.0,22.0,44.0,36.0,141461419.30095443,132086996.0840543,175632.47028898908,157455.71650520698
2018-12-24 20:00:00,0.0,2877.0,0.0,33.0,725972000.0,55524000.0,22.0,44.0,36.0,137360817.79165977,129553919.78496684,167828.4441971592,153606.09823069433
2018-12-24 20:15:00,0.0,2851.0,1.0,29.0,721520000.0,59976000.0,22.0,44.0,35.666666666666664,134484711.76962855,128212365.83881211,163950.04900252854,151921.2009339608
2018-12-24 20:30:00,1.0,2786.0,1.0,30.0,726276000.0,55200000.0,22.0,44.0,35.833333333333336,132330032.64979999,125765360.10854092,160608.59544766226,148427.52495668054
2018-12-24 20:45:00,0.0,2743.0,0.0,32.0,726336000.0,55156000.0,22.0,44.0,35.833333333333336,131495905.69180834,123534449.28757489,161678.83376926108,146987.5876285429
2018-12-24 21:00:00,0.0,2701.0,3.0,31.0,721360000.0,60132000.0,22.0,44.0,35.833333333333336,131639414.91706131,123471765.76397952,163379.20187690455,146610.74062592088
2018-12-24 21:15:00,0.0,2635.0,0.0,29.0,726120000.0,55364000.0,22.0,44.0,35.666666666666664,132232427.6407869,124827893.44519663,162557.5357015768,148323.66880026262
2018-12-24 21:30:00,0.0,2574.0,0.0,27.0,721176000.0,60316000.0,22.0,44.0,35.666666666666664,129842013.3157681,122886985.67844373,159860.05016373264,147104.00984208702
2018-12-24 21:45:00,1.0,2543.0,0.0,28.0,721132000.0,60352000.0,22.0,44.0,35.666666666666664,128662420.40653428,120774230.57701676,160361.32586470371,145566.88257173635
2018-12-24 22:00:00,0.0,2504.0,0.0,28.0,721180000.0,60312000.0,22.0,44.0,35.666666666666664,131014559.01462004,123128046.5874849,163481.27417525023,147370.42267420868
2018-12-24 22:15:00,0.0,2414.0,0.0,26.0,720884000.0,60604000.0,22.0,44.0,36.0,127357990.98451743,120367872.2213329,158771.6657708761,143780.8919094298
2018-12-24 22:30:00,0.0,2361.0,0.0,29.0,727688000.0,53792000.0,22.0,44.0,35.666666666666664,122986294.51221864,115261058.14805225,153472.2209059408,137731.37798867634
2018-12-24 22:45:00,0.0,2330.0,0.0,23.0,720616000.0,60872000.0,22.0,44.0,35.666666666666664,119992624.87479208,113814970.58128387,148141.0582124458,135995.03471076582
2018-12-24 23:00:00,0.0,2323.0,0.0,27.0,720840000.0,60620000.0,22.0,44.0,36.0,119812803.27480617,112133087.80777949,149614.76387589972,134288.37706200517
2018-12-25 00:15:00,0.0,2004.0,0.0,26.0,720612000.0,60876000.0,22.0,44.0,35.833333333333336,101211052.50192057,95841510.55946988,124841.00153704376,113190.29568375174
2018-12-25 00:30:00,0.0,1962.0,0.0,20.0,720604000.0,60884000.0,22.0,44.0,35.5,92049396.52671136,87694594.14621195,113723.82587411653,102792.63440326795
2018-12-25 00:45:00,0.0,1928.0,1.0,21.0,720588000.0,60900000.0,22.0,44.0,35.666666666666664,82750510.37679566,79824618.940515,102475.12848874272,93422.00648052523
2018-12-25 01:00:00,0.0,1892.0,0.0,20.0,725312000.0,56176000.0,22.0,44.0,35.5,74848184.46702093,72093598.08260158,93826.58834121158,85339.1765231553
2018-12-25 01:15:00,0.0,1864.0,0.0,22.0,721120000.0,60368000.0,22.0,44.0,35.5,63614346.20293439,60875037.751426615,82064.34383398695,73348.1591916043
2018-12-25 01:30:00,0.0,1832.0,0.0,20.0,720808000.0,60680000.0,22.0,44.0,35.5,58308216.60409854,55554883.55030923,75919.67062270033,67204.4500769724
2018-12-25 01:45:00,0.0,1808.0,0.0,20.0,720904000.0,60572000.0,22.0,44.0,35.5,53687716.036271565,51614240.6029751,70484.76685466905,62650.646614121644
2018-12-25 02:00:00,0.0,1763.0,0.0,20.0,720952000.0,60536000.0,22.0,44.0,36.0,47174647.602168806,45474751.45574583,62926.09059693775,55514.381448864326
2018-12-25 02:15:00,0.0,1767.0,0.0,23.0,721048000.0,60440000.0,22.0,44.0,35.666666666666664,41797077.355581276,40212129.809267655,57497.35510111055,50011.27535829945
2018-12-25 02:30:00,0.0,1796.0,0.0,19.0,721224000.0,60264000.0,22.0,44.0,35.5,36202877.74524608,35004548.6827187,51845.647939872666,45001.02813582337
2018-12-25 02:45:00,1.0,1791.0,0.0,17.0,721384000.0,60104000.0,22.0,44.0,35.5,33647752.858366385,32317417.872553587,48676.27330753189,41783.91161001825
2018-12-25 03:00:00,2.0,1775.0,0.0,22.0,725736000.0,55752000.0,22.0,43.0,35.166666666666664,30468488.406886585,29176036.30105917,45129.999405561946,38268.49817650777
2018-12-25 03:15:00,0.0,1774.0,1.0,20.0,721656000.0,59832000.0,22.0,43.0,35.0,29958215.486540508,28293733.00464812,44387.80524080859,37186.3319512768
2018-12-25 03:30:00,0.0,1766.0,0.0,20.0,721788000.0,59700000.0,22.0,43.0,35.166666666666664,26504858.424607433,25351407.15685036,40133.75017445135,33441.182410145084
2018-12-25 03:45:00,0.0,1762.0,0.0,20.0,721932000.0,59556000.0,22.0,43.0,35.0,24520268.97370543,23131164.393851876,37583.31866930734,30446.189343231825
2018-12-25 04:00:00,0.0,1749.0,0.0,21.0,722420000.0,59068000.0,22.0,43.0,35.0,19544390.476858,18482736.78083074,31654.400688892234,25183.590526101292
2018-12-25 04:15:00,1.0,1752.0,0.0,27.0,722524000.0,58964000.0,22.0,43.0,34.833333333333336,17684042.82511373,16771308.452051383,29496.885242468954,23027.524364830657
2018-12-25 04:30:00,0.0,1750.0,0.0,20.0,722996000.0,58488000.0,22.0,43.0,34.833333333333336,15319493.09104262,14161006.531881537,27194.605906169993,20525.693270453616
2018-12-25 04:45:00,0.0,1713.0,0.0,17.0,723248000.0,58240000.0,22.0,43.0,35.0,14371513.605415996,13311473.24968385,25734.019303904384,19283.153632350375
2018-12-25 05:00:00,0.0,1710.0,0.0,20.0,723276000.0,58212000.0,22.0,43.0,34.833333333333336,14933188.471573846,13717513.08334642,26624.183929793926,19889.682959266785
2018-12-25 05:15:00,0.0,1701.0,0.0,23.0,723516000.0,57972000.0,22.0,43.0,34.833333333333336,15976935.52434701,14565325.909316082,27644.187367979925,20633.49615404693
2018-12-25 05:30:00,0.0,1704.0,0.0,22.0,723640000.0,57848000.0,22.0,43.0,34.833333333333336,16059028.569575934,14277702.868489735,27953.449063381486,20341.938715104116
2018-12-25 05:45:00,0.0,1702.0,0.0,20.0,723972000.0,57516000.0,22.0,43.0,34.833333333333336,16565271.769820966,14688913.471122377,28510.49691206342,20674.926541248205
2018-12-25 06:00:00,0.0,1705.0,0.0,21.0,724680000.0,56808000.0,22.0,43.0,34.833333333333336,18062072.42752871,16620862.304991785,29666.342062289485,22682.02693022333
2018-12-25 06:15:00,0.0,1715.0,0.0,22.0,724476000.0,57012000.0,22.0,43.0,34.833333333333336,18484070.042177588,16276069.056611842,30643.365407675723,22573.886738391964
2018-12-25 06:30:00,0.0,1718.0,1.0,26.0,724576000.0,56912000.0,22.0,43.0,34.833333333333336,20079800.75835218,18062424.826092962,32526.946654141524,24352.3215896493
2018-12-25 06:45:00,0.0,1726.0,0.0,23.0,724724000.0,56764000.0,22.0,43.0,34.833333333333336,22801141.68025317,20651165.978375476,35366.51537191001,26831.30324147129
2018-12-25 07:00:00,0.0,1752.0,0.0,26.0,725396000.0,56092000.0,22.0,43.0,34.666666666666664,22924199.712265797,20937262.532861654,35892.476770741676,27612.158154002605
2018-12-25 07:15:00,0.0,1766.0,0.0,23.0,725300000.0,56188000.0,22.0,43.0,34.833333333333336,25996295.44459953,23714833.22179647,39512.81328673464,31272.285236365
2018-12-25 07:30:00,1.0,1773.0,0.0,25.0,725288000.0,56196000.0,22.0,43.0,34.833333333333336,30127642.3980122,27217607.842709187,43127.605190171846,33917.6627758839
2018-12-25 07:45:00,1.0,1805.0,0.0,26.0,725320000.0,56164000.0,22.0,43.0,34.833333333333336,34367639.97596532,31693784.013757546,48999.968205555284,39369.012990535324
2018-12-25 08:00:00,0.0,1824.0,0.0,32.0,725256000.0,56228000.0,22.0,43.0,35.0,42267998.18919285,38803946.7989012,57459.2407533756,47219.33252467552
2018-12-25 08:15:00,2.0,1862.0,0.0,32.0,729624000.0,51852000.0,22.0,43.0,34.833333333333336,44303241.05330039,40973256.63617365,60799.060489230535,50680.88267372272
2018-12-25 08:30:00,0.0,1898.0,0.0,26.0,725292000.0,56184000.0,22.0,43.0,35.166666666666664,49831414.439705566,46630868.84747207,67383.23380221795,57164.29648745026
2018-12-25 08:45:00,0.0,1979.0,0.0,26.0,725284000.0,56192000.0,22.0,43.0,35.0,50151854.238449916,46761957.256875895,68178.67657025834,57901.903473315244
2018-12-25 09:00:00,0.0,2044.0,2.0,29.0,729464000.0,52008000.0,22.0,43.0,35.333333333333336,58839628.41506524,54182292.16477847,78244.22099163098,66215.72058873459
2018-12-25 09:15:00,0.0,2110.0,1.0,29.0,725264000.0,56208000.0,22.0,43.0,35.333333333333336,61838839.6683186,57868625.66185107,80719.7477378157,70159.95150464875
2018-12-25 09:30:00,0.0,2197.0,0.0,30.0,725220000.0,56248000.0,22.0,43.0,35.333333333333336,68223567.55658312,64991834.979397506,87378.0600296797,78446.23528086633
2018-12-25 09:45:00,1.0,2267.0,0.0,32.0,725220000.0,56252000.0,22.0,44.0,35.666666666666664,80302445.03559485,76358688.24393827,102086.33112465849,90979.31864008073
2018-12-25 10:00:00,0.0,2356.0,0.0,33.0,725492000.0,55976000.0,22.0,45.0,36.5,90557276.68928313,86849730.52852228,112165.20255605193,102187.70143399708
2018-12-25 11:15:00,1.0,2786.0,1.0,34.0,724848000.0,56612000.0,22.0,45.0,36.166666666666664,122368492.66257179,115871911.91814572,151255.99772684736,138113.68040682405
2018-12-25 11:30:00,1.0,2846.0,1.0,35.0,724840000.0,56616000.0,22.0,44.0,36.0,121031504.09870027,114837848.63437593,151308.75862709238,138036.7846015447
2018-12-25 11:45:00,0.0,2893.0,1.0,37.0,724832000.0,56628000.0,22.0,44.0,35.833333333333336,134142027.00887907,127436546.42990138,164558.5685147319,151764.724507461
2018-12-25 12:00:00,2.0,2935.0,1.0,34.0,729476000.0,51980000.0,22.0,44.0,35.833333333333336,137105246.97624776,128403295.12204042,169679.66122923084,153586.6846333641
2018-12-25 12:45:00,1.0,2962.0,0.0,34.0,724836000.0,56612000.0,22.0,44.0,36.0,146928807.09423926,137531771.6010932,180276.48037974685,164120.50242527312
2018-12-25 13:00:00,0.0,2972.0,0.0,38.0,724824000.0,56628000.0,22.0,44.0,35.666666666666664,144318634.1098045,136354720.8679272,177205.08664324848,163428.19691259266
2018-12-25 13:15:00,0.0,2964.0,1.0,34.0,724844000.0,56608000.0,22.0,44.0,35.833333333333336,145747965.53710866,138567472.8420779,177802.64165122106,164878.27795398454
2018-12-25 13:30:00,2.0,2946.0,1.0,37.0,725120000.0,56328000.0,22.0,44.0,35.833333333333336,139043537.78265688,129876714.42727281,173594.88015721992,156060.36767573838
2018-12-25 13:45:00,0.0,2882.0,0.0,31.0,724500000.0,56948000.0,22.0,44.0,36.0,138762382.20099515,128950506.46164942,171055.7522169791,152711.40870153782
2018-12-25 14:00:00,0.0,2874.0,0.0,32.0,724872000.0,56568000.0,22.0,44.0,36.0,135760230.77155945,126897217.89471099,165813.09277232704,150521.2160208625
2018-12-25 14:15:00,0.0,2836.0,0.0,30.0,724600000.0,56844000.0,22.0,44.0,35.666666666666664,136826260.05576688,126612786.68960966,167727.73470342977,150772.46325136177
2018-12-25 14:30:00,0.0,2830.0,0.0,32.0,724604000.0,56844000.0,22.0,44.0,36.0,131289472.47659862,121238071.47965996,162146.29277495563,143913.0620120493
2018-12-25 14:45:00,0.0,2807.0,0.0,34.0,724604000.0,56844000.0,22.0,44.0,36.0,127519646.93665883,119661579.10036641,155917.4160257244,142362.9124951327
2018-12-25 15:00:00,0.0,2796.0,1.0,37.0,733156000.0,48284000.0,22.0,44.0,35.833333333333336,128510984.62118888,119109818.50270428,159337.32559832116,141209.37886855006
2018-12-25 15:15:00,0.0,2775.0,0.0,33.0,724596000.0,56848000.0,22.0,44.0,36.0,132730423.3838625,123144945.11895818,162950.43241239456,144827.02050799163
2018-12-25 15:30:00,2.0,2811.0,1.0,29.0,724600000.0,56844000.0,22.0,44.0,36.0,130922740.43713267,122777528.3566076,160196.02508003483,144979.5323224443
2018-12-25 15:45:00,1.0,2844.0,0.0,35.0,724572000.0,56872000.0,22.0,44.0,35.833333333333336,133882725.34351395,124682927.15403232,165262.70925938262,146823.03311495332
2018-12-25 16:00:00,0.0,2835.0,0.0,36.0,724092000.0,57352000.0,22.0,44.0,36.0,141517667.05142638,131949994.81796032,172673.89030591134,154470.09823604
2018-12-25 16:30:00,0.0,2821.0,1.0,34.0,724060000.0,57384000.0,22.0,44.0,36.0,134193651.12732463,126906720.44084977,163718.32372045613,149544.51372153487
2018-12-25 16:45:00,0.0,2896.0,1.0,36.0,724088000.0,57348000.0,22.0,44.0,36.0,128272567.5017195,122179085.52573054,156807.13195238044,145128.81258838595
2018-12-25 17:00:00,0.0,2894.0,0.0,35.0,728312000.0,53124000.0,22.0,44.0,35.833333333333336,127029190.89152643,120120342.6807883,157122.93645496503,143430.79249392857
2018-12-25 17:15:00,0.0,2923.0,0.0,33.0,724112000.0,57324000.0,22.0,44.0,35.666666666666664,124941334.10728045,115964780.26900534,155105.25118433707,137987.584674756
2018-12-25 17:30:00,0.0,2929.0,0.0,31.0,724060000.0,57376000.0,22.0,44.0,35.666666666666664,130909186.97875291,122007861.32657304,160836.43933615464,143452.19244358977
2018-12-25 17:45:00,0.0,2920.0,0.0,32.0,724080000.0,57356000.0,22.0,44.0,35.666666666666664,137130903.19272232,128154798.11689726,167547.71035959927,151479.89480218297
2018-12-25 18:00:00,0.0,2911.0,0.0,42.0,724544000.0,56892000.0,22.0,44.0,35.666666666666664,134670383.99712834,126169572.71988271,164783.6723204714,149867.37053629526
2018-12-25 18:15:00,0.0,2894.0,0.0,38.0,723964000.0,57464000.0,22.0,44.0,35.666666666666664,135659354.49401352,125695423.89829394,168457.46425212722,149959.19711149842
2018-12-25 18:30:00,0.0,2869.0,1.0,36.0,723952000.0,57484000.0,22.0,44.0,35.666666666666664,127348934.10577033,118449611.97641923,157763.08759741578,141195.76446047556
2018-12-25 18:45:00,0.0,2806.0,1.0,32.0,723848000.0,57588000.0,22.0,44.0,35.833333333333336,127863655.42478794,119181390.88965994,158591.65890908075,142589.52277806596
2018-12-25 19:00:00,1.0,2787.0,0.0,35.0,731128000.0,50304000.0,22.0,44.0,35.666666666666664,125931113.28355661,116840709.42142338,157385.18078030102,140079.78271694656
2018-12-25 19:15:00,0.0,2762.0,4.0,39.0,723896000.0,57536000.0,22.0,44.0,35.5,129571060.60492747,120467088.0018501,160056.36064337674,142664.2107538488
2018-12-25 19:30:00,1.0,2787.0,1.0,35.0,723856000.0,57576000.0,22.0,44.0,35.5,125588775.03120807,117505847.7594345,153853.2611034973,138487.82713353448
